Ref_DOI_number,Perovskite_composition_short_form,Perovskite_composition_long_form,EQE_integrated_Jsc,JV_default_Voc,JV_default_Jsc,Perovskite_band_gap
10.1016/j.electacta.2018.10.138,MAPbI,MAPbI3,22.23,1.01,22.17,1.6
10.1039/c9se00438f,MAPbI,MAPbI3,22.22,1.06,22.3,1.6
10.1002/adfm.201808667,MAPbI,MAPbI3,22.21,1.11,23.85,1.59
10.1039/c9tc00902g,MAPbI,MAPbI3,22.2,1.06,22.28,1.6
10.1002/solr.201900045,MAPbI,MAPbI3,22.2,1.08,23.41,1.62
10.1002/cssc.201800758,MAPbI,MAPbI3,22.2,1.05,23.39,1.6
10.1021/acsaem.9b01997,MAPbI,MAPbI3,22.2,1.07,19.8,1.6
10.1016/j.nanoen.2019.104245,MAPbI,MAPbI3,22.2,1.02,22.98,1.6
10.1038/ncomms12806,MAPbI,MAPbI3,22.2,1.06,22.7,1.6
10.1002/advs.201700484,MAPbI,MAPbI3,22.2,1.09,22.1,1.6
10.7567/1882-0786/ab1fb6,MAPbI,MAPbI3,22.2,1.1,22.7,1.6
10.1016/j.nanoen.2019.104245,MAPbI,MAPbI3,22.2,1.02,22.98,1.6
10.1016/j.electacta.2018.07.178,MAPbI,MAPbI3,22.2,1.0,20.58,1.6
10.1039/c8ta00267c,MAPbI,MAPbI3,22.2,1.05,22.13,1.6
10.1039/c8ta10510c,MAPbI,MAPbI3,22.19,1.08,22.79,1.6
10.1002/adma.201707143,MAPbI,MAPbI3,22.19,1.05,22.85,1.6
10.1039/c8nj03067g,MAPbI,MAPbI3,22.19,0.96,22.3,1.6
10.1016/j.carbon.2019.01.105,MAPbI,MAPbI3,22.18,1.037,20.91,1.6
10.1021/acsami.8b22044,MAPbI,MAPbI3,22.18,1.07,22.22,1.6
10.1039/c7ta02242e,MAPbI,MAPbI3,22.18,1.12,22.47,1.6
10.1021/acsami.0c05527,MAPbI,MAPbI3,22.18,1.1,23.05,
10.1021/acsami.0c05527,MAPbI,MAPbI3,22.18,1.1,23.05,
10.1021/acsami.0c05527,MAPbI,MAPbI3,22.18,1.1,23.05,
10.1002/adma.201505241,MAPbI,MAPbI3,22.17,0.89,23.07,1.6
10.1002/adma.201505241,MAPbI,MAPbI3,22.17,0.87,19.43,1.6
10.1002/adma.201505241,MAPbI,MAPbI3,22.17,0.88,21.85,1.6
10.1002/adma.201505241,MAPbI,MAPbI3,22.17,0.89,23.14,1.6
10.1002/adma.201505241,MAPbI,MAPbI3,22.17,0.85,22.87,1.6
10.1002/adma.201505241,MAPbI,MAPbI3,22.17,0.89,23.07,1.6
10.1002/adma.201505241,MAPbI,MAPbI3,22.17,0.81,19.34,1.6
10.1002/adfm.201900417,MAPbI,MAPbI3,22.16,1.1,22.18,1.6
10.1002/aenm.201803573,MAPbI,MAPbI3,22.15,1.12,22.64,1.57
10.1016/j.electacta.2017.12.135,MAPbI,MAPbI3,22.14,0.967,22.64,1.6
10.1002/solr.201900241,MAPbI,MAPbI3,22.14,1.08,23.8,1.6
10.1039/c9nr01836k,MAPbI,MAPbI3,22.14,1.01,22.75,1.6
10.1039/c7ta03150e,MAPbI,MAPbI3,22.14,1.13,22.42,1.6
10.1021/acsaem.8b02145,MAPbI,MAPbI3,22.14,1.124,22.96,1.6
10.1021/acsaem.8b02145,MAPbI,MAPbI3,22.14,1.124,22.96,1.6
10.1039/c6ta06152d,MAPbI,MAPbI3,22.14,0.94,21.97,1.6
